ts-morph,templates
11.542ms,1.278ms
5.815ms,1.293ms
17.245ms,1.380ms
6.351ms,0.790ms
6.627ms,0.646ms
5.845ms,0.941ms
5.983ms,1.208ms
9.184ms,0.876ms
5.637ms,1.147ms
6.361ms,0.877ms
7.944ms,1.159ms
7.012ms,1.068ms
6.551ms,1.648ms
4.989ms,0.778ms
9.368ms,1.021ms
8.829ms,0.978ms
75.282ms,4.818ms
8.153ms,1.073ms
6.852ms,1.111ms
8.030ms,1.284ms
11.147ms,1.114ms
13.010ms,1.251ms
9.668ms,1.058ms
55.658ms,4.214ms
5.678ms,1.010ms
13.592ms,1.397ms
9.060ms,0.871ms
5.660ms,1.002ms
6.165ms,0.905ms
14.884ms,1.463ms
9.399ms,1.001ms
5.811ms,1.032ms
8.235ms,4.900ms
14.682ms,3.077ms
12.511ms,1.097ms
6.524ms,1.973ms
4.323ms,0.906ms
9.358ms,2.323ms
7.937ms,1.501ms
42.537ms,2.776ms
16.936ms,1.774ms
8.982ms,1.079ms
11.372ms,1.511ms
22.083ms,2.353ms
34.128ms,2.641ms
38.058ms,3.619ms
10.606ms,1.106ms
31.630ms,2.326ms
12.078ms,1.362ms
13.061ms,1.284ms
35.030ms,2.409ms
5.625ms,2.644ms
6.164ms,7.958ms
9.407ms,1.509ms
4.336ms,0.766ms
16.805ms,1.788ms
19.967ms,2.639ms
42.196ms,3.989ms
5.241ms,0.967ms
9.080ms,0.843ms
27.092ms,2.335ms
7.182ms,0.889ms
125.076ms,9.522ms
6.554ms,0.575ms
5.652ms,0.479ms
24.409ms,1.648ms
55.882ms,2.995ms
67.426ms,5.203ms
58.704ms,4.118ms
7.915ms,0.701ms
6.682ms,0.856ms
6.712ms,0.900ms
6.919ms,2.440ms
26.517ms,2.546ms
6.099ms,0.595ms
5.779ms,0.819ms
29.353ms,2.001ms
68.607ms,5.938ms
59.024ms,5.363ms
11.379ms,0.703ms
6.672ms,0.649ms
6.208ms,0.577ms
7.002ms,0.660ms
25.753ms,1.742ms
10.339ms,0.898ms
23.140ms,1.607ms
6.664ms,0.520ms
4.957ms,0.460ms
17.906ms,1.151ms
29.740ms,1.683ms
8.307ms,0.743ms
11.718ms,0.659ms
14.783ms,1.079ms
16.452ms,1.422ms
25.855ms,1.568ms
31.053ms,1.938ms
18.822ms,1.353ms
22.824ms,5.531ms
4.574ms,0.492ms
8.198ms,0.545ms
10.581ms,0.746ms
14.977ms,0.934ms
3.902ms,0.435ms
36.868ms,2.654ms
22.886ms,1.728ms
16.195ms,1.162ms
15.849ms,1.233ms
5.900ms,0.683ms
29.611ms,1.589ms
13.841ms,1.246ms
23.261ms,1.450ms
12.884ms,0.973ms
5.343ms,0.556ms
33.914ms,2.554ms
45.580ms,2.726ms
23.336ms,2.090ms
25.307ms,0.516ms
14.272ms,0.545ms
22.416ms,0.815ms
11.842ms,0.738ms
6.088ms,2.419ms
4.513ms,0.450ms
3.725ms,0.422ms
52.289ms,2.413ms
22.080ms,1.235ms
12.694ms,1.061ms
13.592ms,1.142ms
9.652ms,0.556ms
11.647ms,1.451ms
26.061ms,2.624ms
13.168ms,1.295ms
18.837ms,1.571ms
8.680ms,0.672ms
34.226ms,2.430ms
12.250ms,0.979ms
13.469ms,2.220ms
12.766ms,0.844ms
10.832ms,1.672ms
40.012ms,2.641ms
11.653ms,1.032ms
34.198ms,2.269ms
12.937ms,1.103ms
5.716ms,0.596ms
6.634ms,0.627ms
11.693ms,0.925ms
9.832ms,0.745ms
11.477ms,0.694ms
5.848ms,0.544ms
8.028ms,0.851ms
43.154ms,2.684ms
4.843ms,0.499ms
4.996ms,0.516ms
5.744ms,0.575ms
12.081ms,0.742ms
8.103ms,0.657ms
54.207ms,2.192ms
12.719ms,0.935ms
7.480ms,0.772ms
7.876ms,0.883ms
24.883ms,3.621ms
6.702ms,1.368ms
9.048ms,0.696ms
10.433ms,0.681ms
38.697ms,0.573ms
8.431ms,0.544ms
22.988ms,0.597ms
8.615ms,0.513ms
4.935ms,0.511ms
6.501ms,0.596ms
28.842ms,1.526ms
5.395ms,1.108ms
5.750ms,0.524ms
8.816ms,0.738ms
16.478ms,1.177ms
34.833ms,6.609ms
12.334ms,1.079ms
5.923ms,0.577ms
22.222ms,1.477ms
11.002ms,0.893ms
10.400ms,0.620ms
28.520ms,0.893ms
14.338ms,0.684ms
11.411ms,1.538ms
8.333ms,2.020ms
21.546ms,2.040ms
43.137ms,2.962ms
6.302ms,2.013ms
21.576ms,2.052ms
12.909ms,1.118ms
21.725ms,2.324ms
33.883ms,2.077ms
24.812ms,2.102ms
19.424ms,1.851ms
21.160ms,1.358ms
7.016ms,0.895ms
9.427ms,1.149ms
29.476ms,2.263ms
52.438ms,3.609ms
8.812ms,0.698ms
5.390ms,0.864ms
9.701ms,1.031ms
23.245ms,2.261ms
22.725ms,15.330ms
8.740ms,1.704ms
7.941ms,1.571ms
53.722ms,3.728ms
33.766ms,10.274ms
27.157ms,2.479ms
14.501ms,0.894ms
5.533ms,0.523ms
4.989ms,0.469ms
5.433ms,0.485ms
6.422ms,0.523ms
5.004ms,0.515ms
4.838ms,0.573ms
8.059ms,0.507ms
13.439ms,0.882ms
27.064ms,1.741ms
36.134ms,3.590ms
14.819ms,1.019ms
35.892ms,2.517ms
7.598ms,0.610ms
13.225ms,0.577ms
13.280ms,0.583ms
7.733ms,0.612ms
5.643ms,0.512ms
6.370ms,0.526ms
13.822ms,1.181ms
11.439ms,0.615ms
9.122ms,0.779ms
24.871ms,1.118ms
26.409ms,1.667ms
21.770ms,1.812ms
10.095ms,0.673ms
11.781ms,0.904ms
38.276ms,2.168ms
5.587ms,0.507ms
25.587ms,1.543ms
14.066ms,1.021ms
14.566ms,1.110ms
22.857ms,1.982ms
10.895ms,1.486ms
4.765ms,0.867ms
30.162ms,2.669ms
16.871ms,1.320ms
5.347ms,0.731ms
7.762ms,1.256ms
8.476ms,0.724ms
16.460ms,1.500ms
36.617ms,2.448ms
5.836ms,0.846ms
23.828ms,1.873ms
16.677ms,1.479ms
12.579ms,1.224ms
20.373ms,1.646ms
11.406ms,1.524ms
5.250ms,0.665ms
28.525ms,3.373ms
9.256ms,1.304ms
4.723ms,1.058ms
6.555ms,0.958ms
4.863ms,1.040ms
15.982ms,1.183ms
17.197ms,1.902ms
5.679ms,1.011ms
15.927ms,1.256ms
6.327ms,0.842ms
7.207ms,0.844ms
20.837ms,2.121ms
11.180ms,1.252ms
10.445ms,1.572ms
12.316ms,1.193ms
15.487ms,0.994ms
9.427ms,1.072ms
4.974ms,0.805ms
13.397ms,1.436ms
12.576ms,1.174ms
6.835ms,1.147ms
6.372ms,0.923ms
13.235ms,1.301ms
6.570ms,0.799ms
9.441ms,1.047ms
6.080ms,0.910ms
13.810ms,1.442ms
6.018ms,0.857ms
6.566ms,0.938ms
32.455ms,2.526ms
25.924ms,1.982ms
16.918ms,5.093ms
17.129ms,2.094ms
14.867ms,1.967ms
13.389ms,1.422ms
15.270ms,1.316ms
9.513ms,1.535ms
14.081ms,2.111ms
14.816ms,2.383ms
9.168ms,1.348ms
10.461ms,2.038ms
17.685ms,1.619ms
17.872ms,1.924ms
15.255ms,1.446ms
11.339ms,1.500ms
16.661ms,1.502ms
6.110ms,0.774ms
8.992ms,1.141ms
5.607ms,0.778ms
5.370ms,0.906ms
4.966ms,0.746ms
4.554ms,0.861ms
5.562ms,1.088ms
5.442ms,0.738ms
9.010ms,0.771ms
5.653ms,0.677ms
6.422ms,0.925ms
4.794ms,0.715ms
6.629ms,0.891ms
5.469ms,0.755ms
4.514ms,0.835ms
10.743ms,1.119ms
5.859ms,0.858ms
6.551ms,0.800ms
11.334ms,0.747ms
5.594ms,1.029ms
8.676ms,1.950ms
5.194ms,2.499ms
23.423ms,2.551ms
5.714ms,1.677ms
14.127ms,9.125ms
8.702ms,8.298ms
5.664ms,0.758ms
6.330ms,1.239ms
5.811ms,1.475ms
28.108ms,2.507ms
24.921ms,3.487ms
10.471ms,2.216ms
30.661ms,3.124ms
6.730ms,0.837ms
27.943ms,1.649ms
6.326ms,0.788ms
9.001ms,0.981ms
14.908ms,0.905ms
10.580ms,0.833ms
21.342ms,3.200ms
22.674ms,1.653ms
9.028ms,1.042ms
43.890ms,1.827ms
8.474ms,0.790ms
28.455ms,1.725ms
5.760ms,0.882ms
7.744ms,1.050ms
44.784ms,2.068ms
12.750ms,1.080ms
7.032ms,0.832ms
10.820ms,1.023ms
22.778ms,0.788ms
13.840ms,0.919ms
29.239ms,3.619ms
42.523ms,3.668ms
7.858ms,1.327ms
25.103ms,1.782ms
46.947ms,2.441ms
14.226ms,2.378ms
23.657ms,2.894ms
10.162ms,0.851ms
9.570ms,0.918ms
5.971ms,0.692ms
16.772ms,1.433ms
28.880ms,1.799ms
42.793ms,4.666ms
7.963ms,1.470ms
6.494ms,0.881ms
8.778ms,0.881ms
32.115ms,6.521ms
27.110ms,2.710ms
10.938ms,0.855ms
44.037ms,1.717ms
7.051ms,0.800ms
10.180ms,1.081ms
22.063ms,12.127ms
10.231ms,15.204ms
28.409ms,3.319ms
30.853ms,3.083ms
32.536ms,9.285ms
8.242ms,0.926ms
6.394ms,4.346ms
28.714ms,1.713ms
6.901ms,0.950ms
25.610ms,2.665ms
30.350ms,1.314ms
5.932ms,5.416ms
29.216ms,10.170ms
25.803ms,1.956ms
63.807ms,2.431ms
8.099ms,0.731ms
11.269ms,1.121ms
15.357ms,0.931ms
6.786ms,0.616ms
7.216ms,0.627ms
8.299ms,0.974ms
5.352ms,0.602ms
4.708ms,0.471ms
5.155ms,0.501ms
21.060ms,1.345ms
19.577ms,1.244ms
6.198ms,0.843ms
4.939ms,0.778ms
7.209ms,4.477ms
5.699ms,0.807ms
4.740ms,0.600ms
7.432ms,0.842ms
10.893ms,1.248ms
17.992ms,1.139ms
28.403ms,1.319ms
9.622ms,1.462ms
6.692ms,0.630ms
6.495ms,0.655ms
15.677ms,1.267ms
20.674ms,1.488ms
26.767ms,1.603ms
22.370ms,2.168ms
